date,moon
2019-01-06,0.0
2019-01-14,0.5
2019-01-21,1.0
2019-01-27,0.5
2019-02-04,0.0
2019-02-12,0.5
2019-02-19,1.0
2019-02-26,0.5
2019-03-06,0.0
2019-03-14,0.5
2019-03-21,1.0
2019-03-28,0.5
2019-04-05,0.0
2019-04-12,0.5
2019-04-19,1.0
2019-04-27,0.5
2019-05-05,0.0
2019-05-12,0.5
2019-05-18,1.0
2019-05-26,0.5
2019-06-03,0.0
2019-06-10,0.5
2019-06-17,1.0
2019-06-25,0.5
2019-07-02,0.0
2019-07-09,0.5
2019-07-16,1.0
2019-07-25,0.5
2019-08-01,0.0
2019-08-07,0.5
2019-08-15,1.0
2019-08-23,0.5
2019-08-30,0.0
2019-09-06,0.5
2019-09-14,1.0
2019-09-22,0.5
2019-09-28,0.0
2019-10-05,0.5
2019-10-13,1.0
2019-10-21,0.5
2019-10-28,0.0
2019-11-04,0.5
2019-11-12,1.0
2019-11-19,0.5
2019-11-26,0.0
2019-12-04,0.5
2019-12-12,1.0
2019-12-19,0.5
2019-12-26,0.0
